DATASET_COLORSTRIP
SEPARATOR TAB
DATASET_LABEL	Similarity
COLOR	#ff0000
DATA
Sporidiobolus_salmonicolor_Ssal-KRED	#59C959	High (100.0%)
Hypsizygus_marmoreus_KYQ37830	#87CEEB	Low (33.6%)
Hypsizygus_marmoreus_KYQ36391	#87CEEB	Low (32.0%)
Hypsizygus_marmoreus_KYQ35301	#87CEEB	Low (35.5%)
Hypsizygus_marmoreus_KYQ35321	#905799	Far distant (25.4%)
Hypsizygus_marmoreus_KYQ34580	#87CEEB	Low (32.7%)
Hypsizygus_marmoreus_KYQ42087	#87CEEB	Low (32.0%)
Jaapia_argillacea_KDQ65078	#87CEEB	Low (38.1%)
Jaapia_argillacea_KDQ65079	#87CEEB	Low (34.4%)
Jaapia_argillacea_KDQ55848	#87CEEB	Low (31.8%)
Jaapia_argillacea_KDQ55849	#87CEEB	Low (34.5%)
Jaapia_argillacea_KDQ54811	#905799	Far distant (29.1%)
Jaapia_argillacea_KDQ50487	#87CEEB	Low (34.8%)
Jaapia_argillacea_KDQ50493	#87CEEB	Low (32.6%)
Jaapia_argillacea_KDQ50494	#87CEEB	Low (33.0%)
Jaapia_argillacea_KDQ50495	#87CEEB	Low (33.1%)
Jaapia_argillacea_KDQ50505	#87CEEB	Low (39.2%)
Jaapia_argillacea_KDQ50510	#87CEEB	Low (36.1%)
Jaapia_argillacea_KDQ50511	#87CEEB	Low (33.8%)
Jaapia_argillacea_KDQ50530	#87CEEB	Low (34.6%)
Jaminaea_rosea_PWN31121	#87CEEB	Low (35.9%)
Jaminaea_rosea_PWN25854	#87CEEB	Low (32.1%)
Jaminaea_rosea_PWN25607	#87CEEB	Low (31.4%)
Kalmanozyma_brasiliensis_EST08938	#87CEEB	Low (30.6%)
Kalmanozyma_brasiliensis_EST08939	#87CEEB	Low (33.8%)
Kalmanozyma_brasiliensis_EST07003	#87CEEB	Low (35.6%)
Kalmanozyma_brasiliensis_EST04781	#87CEEB	Low (32.4%)
Kalmanozyma_brasiliensis_EST04638	#905799	Far distant (30.0%)
Kazachstania_africana_CCF56305	#87CEEB	Low (31.2%)
Kazachstania_africana_CCF56306	#87CEEB	Low (34.9%)
Kazachstania_africana_CCF57011	#87CEEB	Low (32.0%)
Kazachstania_naganishii_CCK69764	#87CEEB	Low (34.2%)
Kazachstania_naganishii_CCK71799	#87CEEB	Low (33.2%)
Kluyveromyces_dobzhanskii_CDO96009	#905799	Far distant (27.7%)
Kluyveromyces_dobzhanskii_CDO93760	#905799	Far distant (29.1%)
Kluyveromyces_dobzhanskii_CDO95209	#87CEEB	Low (30.0%)
Kluyveromyces_lactis_CAH00648	#905799	Far distant (28.8%)
Kluyveromyces_lactis_CAH00649	#905799	Far distant (28.8%)
Kluyveromyces_marxianus_BAO39313	#87CEEB	Low (33.0%)
Kluyveromyces_marxianus_BAO40024	#905799	Far distant (28.9%)
Kluyveromyces_marxianus_BAO40652	#905799	Far distant (29.3%)
Kluyveromyces_marxianus_BAO41716	#905799	Far distant (29.1%)
Kluyveromyces_marxianus_BAO42315	#905799	Far distant (27.5%)
Kluyveromyces_marxianus_BAO42371	#87CEEB	Low (30.0%)
Kockovaella_imperatae_ORX39572	#87CEEB	Low (31.0%)
Kockovaella_imperatae_ORX38574	#87CEEB	Low (38.4%)
Kockovaella_imperatae_ORX37440	#905799	Far distant (29.8%)
Komagataella_pastoris_ANZ74206	#87CEEB	Low (30.9%)
Komagataella_pastoris_ANZ74293	#87CEEB	Low (30.5%)
Komagataella_pastoris_ANZ74665	#87CEEB	Low (33.0%)
Komagataella_pastoris_ANZ73826	#905799	Far distant (29.0%)
Komagataella_pastoris_ANZ73570	#87CEEB	Low (31.5%)
Komagataella_pastoris_ANZ75216	#905799	Far distant (27.9%)
Komagataella_pastoris_ANZ75380	#87CEEB	Low (31.8%)
Komagataella_pastoris_ANZ77937	#87CEEB	Low (33.1%)
Komagataella_phaffii_CCA39716	#87CEEB	Low (31.9%)
Komagataella_phaffii_CCA39717	#87CEEB	Low (32.3%)
Komagataella_phaffii_CCA39718	#87CEEB	Low (32.6%)
Komagataella_phaffii_CCA39719	#87CEEB	Low (30.8%)
Komagataella_phaffii_CCA40167	#87CEEB	Low (30.6%)
Komagataella_phaffii_CCA40567	#87CEEB	Low (32.0%)
Komagataella_phaffii_CCA40817	#87CEEB	Low (31.1%)
Kuraishia_capsulata_CDK24051	#87CEEB	Low (33.7%)
Kuraishia_capsulata_CDK24802	#87CEEB	Low (31.3%)
Kuraishia_capsulata_CDK24811	#87CEEB	Low (33.2%)
Kuraishia_capsulata_CDK24930	#87CEEB	Low (34.9%)
Kuraishia_capsulata_CDK25779	#905799	Far distant (29.8%)
Kuraishia_capsulata_CDK25821	#87CEEB	Low (34.5%)
Kuraishia_capsulata_CDK25822	#87CEEB	Low (35.1%)
Kuraishia_capsulata_CDK25823	#87CEEB	Low (32.9%)
Kuraishia_capsulata_CDK26222	#87CEEB	Low (31.4%)
Kuraishia_capsulata_CDK26883	#87CEEB	Low (32.6%)
Kuraishia_capsulata_CDK27225	#87CEEB	Low (32.1%)
Kuraishia_capsulata_CDK28345	#87CEEB	Low (31.8%)
Kuraishia_capsulata_CDK28346	#87CEEB	Low (35.8%)
Kuraishia_capsulata_CDK28656	#905799	Far distant (28.7%)
Kuraishia_capsulata_CDK29463	#87CEEB	Low (32.6%)
Kwoniella_bestiolae_OCF27294	#905799	Far distant (29.8%)
Kwoniella_bestiolae_OCF26038	#87CEEB	Low (31.5%)
Kwoniella_bestiolae_OCF26757	#87CEEB	Low (33.8%)
Kwoniella_bestiolae_OCF24965	#905799	Far distant (29.0%)
Kwoniella_bestiolae_OCF25693	#87CEEB	Low (33.1%)
Kwoniella_bestiolae_OCF23596	#EAFF80	Medium (40.7%)
Kwoniella_bestiolae_OCF23598	#87CEEB	Low (35.1%)
Kwoniella_dejecticola_OBR88484	#905799	Far distant (29.4%)
Kwoniella_dejecticola_OBR87573	#87CEEB	Low (30.2%)
Kwoniella_dejecticola_OBR88133	#87CEEB	Low (33.9%)
Kwoniella_dejecticola_OBR85479	#905799	Far distant (29.7%)
Kwoniella_dejecticola_OBR83608	#EAFF80	Medium (41.4%)
Kwoniella_dejecticola_OBR83609	#87CEEB	Low (35.8%)
Kwoniella_dejecticola_OBR82786	#87CEEB	Low (32.6%)
Kwoniella_dejecticola_OBR81649	#87CEEB	Low (35.3%)
Kwoniella_heveanensis_OCF37909	#87CEEB	Low (30.5%)
Kwoniella_heveanensis_OCF37912	#EAFF80	Medium (40.3%)
Kwoniella_heveanensis_OCF37913	#87CEEB	Low (34.2%)
Kwoniella_heveanensis_OCF36529	#905799	Far distant (28.3%)
Kwoniella_heveanensis_OCF32556	#87CEEB	Low (31.2%)
Kwoniella_heveanensis_OCF31004	#905799	Far distant (28.7%)
Kwoniella_heveanensis_OCF31005	#905799	Far distant (27.4%)
Kwoniella_heveanensis_OCF31058	#87CEEB	Low (38.1%)
Kwoniella_mangroviensis_OCF59987	#87CEEB	Low (31.9%)
Kwoniella_mangroviensis_OCF58756	#87CEEB	Low (31.6%)
Kwoniella_mangroviensis_OCF57284	#87CEEB	Low (35.8%)
Kwoniella_mangroviensis_OCF57286	#87CEEB	Low (39.6%)
Kwoniella_mangroviensis_OCF57015	#87CEEB	Low (38.5%)
Kwoniella_mangroviensis_OCF54098	#905799	Far distant (28.2%)
Kwoniella_pini_OCF52967	#87CEEB	Low (32.7%)
Kwoniella_pini_OCF50234	#87CEEB	Low (35.4%)
Kwoniella_pini_OCF50235	#EAFF80	Medium (40.7%)
Kwoniella_pini_OCF49501	#905799	Far distant (27.6%)
Kwoniella_pini_OCF47212	#87CEEB	Low (30.5%)
Laccaria_amethystina_KIK09779	#87CEEB	Low (31.2%)
Laccaria_amethystina_KIJ97997	#905799	Far distant (28.3%)
Laccaria_amethystina_KIJ92572	#87CEEB	Low (35.8%)
Laccaria_bicolor_EDR06289	#87CEEB	Low (34.2%)
Laccaria_bicolor_EDR04710	#87CEEB	Low (35.2%)
Laccaria_bicolor_EDR11579	#87CEEB	Low (31.4%)
Lachancea_dasiensis_SCU81054	#87CEEB	Low (33.6%)
Lachancea_dasiensis_SCU83696	#87CEEB	Low (30.8%)
Lachancea_dasiensis_SCU87189	#905799	Far distant (29.0%)
Lachancea_dasiensis_SCU89865	#87CEEB	Low (30.4%)
Lachancea_dasiensis_SCU95655	#87CEEB	Low (30.6%)
Lachancea_fermentati_SCW00332	#87CEEB	Low (33.3%)
Lachancea_fermentati_SCW00844	#87CEEB	Low (30.0%)
Lachancea_fermentati_SCW00897	#905799	Far distant (28.8%)
Lachancea_fermentati_SCW03532	#905799	Far distant (29.3%)
Lachancea_fermentati_SCW03631	#87CEEB	Low (32.9%)
Lachancea_lanzarotensis_CEP60997	#905799	Far distant (28.2%)
Lachancea_lanzarotensis_CEP61394	#87CEEB	Low (30.6%)
Lachancea_lanzarotensis_CEP61854	#87CEEB	Low (32.4%)
Lachancea_lanzarotensis_CEP63349	#87CEEB	Low (33.2%)
Lachancea_meyersii_SCU96761	#905799	Far distant (28.5%)
Lachancea_meyersii_SCV02943	#905799	Far distant (29.1%)
Lachancea_mirantina_SCU79944	#87CEEB	Low (32.3%)
Lachancea_mirantina_SCU80074	#87CEEB	Low (30.9%)
Lachancea_mirantina_SCU80129	#87CEEB	Low (34.8%)
Lachancea_mirantina_SCU82085	#87CEEB	Low (33.2%)
Lachancea_nothofagi_SCU79061	#87CEEB	Low (33.2%)
Lachancea_nothofagi_SCU95897	#87CEEB	Low (30.6%)
Lachancea_nothofagi_SCV05241	#905799	Far distant (29.9%)
Lachancea_quebecensis_CUS22351	#905799	Far distant (29.9%)
Lachancea_quebecensis_CUS22362	#905799	Far distant (28.5%)
Lachancea_quebecensis_CUS22847	#87CEEB	Low (32.7%)
Lachancea_sp_SCU80237	#87CEEB	Low (33.9%)
Lachancea_sp_SCU87853	#87CEEB	Low (31.2%)
Lachancea_sp_SCU92497	#905799	Far distant (28.2%)
Lachancea_thermotolerans_CAR21619	#905799	Far distant (29.1%)
Lachancea_thermotolerans_CAR21629	#905799	Far distant (29.2%)
Lachancea_thermotolerans_CAR23459	#87CEEB	Low (32.0%)
Lachancea_thermotolerans_CAR23946	#87CEEB	Low (33.6%)
Laetiporus_sulphureus_KZT02568	#87CEEB	Low (38.6%)
Laetiporus_sulphureus_KZT02607	#87CEEB	Low (36.4%)
Laetiporus_sulphureus_KZT02608	#87CEEB	Low (37.5%)
Lentinula_edodes_GAW09118	#905799	Far distant (28.4%)
Lentinula_edodes_GAW02981	#87CEEB	Low (37.0%)
Lentinula_edodes_GAW03481	#905799	Far distant (22.8%)
Lentinula_edodes_GAW03750	#905799	Far distant (28.1%)
Lentinula_edodes_GAW10143	#87CEEB	Low (31.6%)
Lentinula_edodes_GAV99769	#905799	Far distant (22.1%)
Lentinula_edodes_GAW04162	#87CEEB	Low (37.7%)
Lentinula_edodes_GAW05000	#905799	Far distant (26.2%)
Lentinula_edodes_GAW06224	#905799	Far distant (24.2%)
Lentinula_edodes_GAW06920	#87CEEB	Low (31.8%)
Lentinula_edodes_GAW01482	#87CEEB	Low (35.7%)
Lentinula_edodes_GAW01483	#87CEEB	Low (37.8%)
Leucoagaricus_sp_KXN93298	#905799	Far distant (22.6%)
Leucosporidium_creatinivorum_ORY92490	#87CEEB	Low (31.2%)
Leucosporidium_creatinivorum_ORY92501	#87CEEB	Low (32.1%)
Leucosporidium_creatinivorum_ORY92502	#905799	Far distant (26.5%)
Leucosporidium_creatinivorum_ORY92509	#87CEEB	Low (33.6%)
Leucosporidium_creatinivorum_ORY92558	#87CEEB	Low (37.6%)
Leucosporidium_creatinivorum_ORY92562	#87CEEB	Low (36.9%)
Leucosporidium_creatinivorum_ORY92678	#87CEEB	Low (33.2%)
Leucosporidium_creatinivorum_ORY53991	#59C959	High (53.5%)
Leucosporidium_creatinivorum_ORY88284	#87CEEB	Low (34.1%)
Leucosporidium_creatinivorum_ORY88286	#87CEEB	Low (33.9%)
Leucosporidium_creatinivorum_ORY88047	#87CEEB	Low (30.9%)
Leucosporidium_creatinivorum_ORY90635	#EAFF80	Medium (49.9%)
Leucosporidium_creatinivorum_ORY90661	#EAFF80	Medium (46.6%)
Leucosporidium_creatinivorum_ORY78034	#87CEEB	Low (32.1%)
Leucosporidium_creatinivorum_ORY77578	#87CEEB	Low (34.2%)
Leucosporidium_creatinivorum_ORY76568	#87CEEB	Low (34.7%)
Leucosporidium_creatinivorum_ORY74541	#87CEEB	Low (36.4%)
Leucosporidium_creatinivorum_ORY73425	#87CEEB	Low (34.3%)
Lipomyces_starkeyi_ODQ76344	#87CEEB	Low (38.3%)
Lipomyces_starkeyi_ODQ75222	#87CEEB	Low (35.2%)
Lipomyces_starkeyi_ODQ73211	#905799	Far distant (28.8%)
Lipomyces_starkeyi_ODQ71848	#905799	Far distant (25.2%)
Lipomyces_starkeyi_ODQ71615	#905799	Far distant (28.2%)
Lipomyces_starkeyi_ODQ69632	#905799	Far distant (26.5%)
Lipomyces_starkeyi_ODQ68995	#87CEEB	Low (30.3%)
Lodderomyces_elongisporus_EDK42713	#87CEEB	Low (31.0%)
Lodderomyces_elongisporus_EDK47269	#87CEEB	Low (30.1%)
Lodderomyces_elongisporus_EDK43722	#87CEEB	Low (31.2%)
Lodderomyces_elongisporus_EDK43723	#87CEEB	Low (31.6%)
Lodderomyces_elongisporus_EDK43724	#87CEEB	Low (30.5%)
Lodderomyces_elongisporus_EDK43725	#87CEEB	Low (31.7%)
Lodderomyces_elongisporus_EDK46659	#87CEEB	Low (33.7%)
Lomentospora_prolificans_PKS09829	#87CEEB	Low (34.7%)
Lomentospora_prolificans_PKS12942	#87CEEB	Low (38.0%)
Lomentospora_prolificans_PKS08375	#87CEEB	Low (32.6%)
Lomentospora_prolificans_PKS07163	#87CEEB	Low (35.3%)
Macrophomina_phaseolina_EKG22181	#905799	Far distant (21.1%)
Macrophomina_phaseolina_EKG20759	#87CEEB	Low (38.9%)
Macrophomina_phaseolina_EKG20396	#87CEEB	Low (35.2%)
Macrophomina_phaseolina_EKG20229	#87CEEB	Low (35.4%)
Macrophomina_phaseolina_EKG18975	#59C959	High (50.2%)
Macrophomina_phaseolina_EKG18982	#87CEEB	Low (33.1%)
Macrophomina_phaseolina_EKG17557	#905799	Far distant (22.6%)
Macrophomina_phaseolina_EKG17422	#87CEEB	Low (32.6%)
Macrophomina_phaseolina_EKG14355	#905799	Far distant (23.5%)
Macrophomina_phaseolina_EKG13711	#87CEEB	Low (34.3%)
Macrophomina_phaseolina_EKG13549	#87CEEB	Low (30.4%)
Macrophomina_phaseolina_EKG12783	#87CEEB	Low (37.7%)
Macrophomina_phaseolina_EKG12762	#87CEEB	Low (34.7%)
Macrophomina_phaseolina_EKG12658	#905799	Far distant (28.4%)
Macrophomina_phaseolina_EKG11494	#87CEEB	Low (35.1%)
Macrophomina_phaseolina_EKG11429	#87CEEB	Low (31.0%)
Macrophomina_phaseolina_EKG09637	#87CEEB	Low (36.2%)
Madurella_mycetomatis_KXX82347	#905799	Far distant (29.1%)
Madurella_mycetomatis_KXX79636	#87CEEB	Low (37.4%)
Madurella_mycetomatis_KXX77811	#87CEEB	Low (33.9%)
Madurella_mycetomatis_KXX77190	#87CEEB	Low (34.2%)
Madurella_mycetomatis_KXX76618	#87CEEB	Low (37.4%)
Madurella_mycetomatis_KXX75462	#905799	Far distant (29.1%)
Madurella_mycetomatis_KXX73929	#87CEEB	Low (33.1%)
Malassezia_globosa_EDP45010	#87CEEB	Low (32.5%)
Malassezia_globosa_EDP41455	#87CEEB	Low (31.0%)
Malassezia_globosa_EDP41461	#87CEEB	Low (31.0%)
Malassezia_globosa_EDP41467	#87CEEB	Low (31.0%)
Malassezia_pachydermatis_KOS15205	#87CEEB	Low (30.4%)
Marssonina_brunnea_EKD16242	#87CEEB	Low (37.6%)
Meira_miltonrushii_PWN37185	#87CEEB	Low (30.0%)
Meira_miltonrushii_PWN37186	#87CEEB	Low (33.8%)
Meira_miltonrushii_PWN36301	#87CEEB	Low (32.8%)
Meira_miltonrushii_PWN34163	#87CEEB	Low (37.9%)
Meliniomyces_bicolor_PMD63653	#87CEEB	Low (33.1%)
Meliniomyces_bicolor_PMD59821	#87CEEB	Low (34.2%)
Meliniomyces_bicolor_PMD56891	#87CEEB	Low (34.8%)
Meliniomyces_bicolor_PMD56395	#EAFF80	Medium (41.7%)
Meliniomyces_bicolor_PMD56412	#87CEEB	Low (35.4%)
Meliniomyces_bicolor_PMD52717	#905799	Far distant (29.2%)
Meliniomyces_bicolor_PMD50923	#87CEEB	Low (32.6%)
Meliniomyces_bicolor_PMD50488	#87CEEB	Low (34.9%)
Meliniomyces_bicolor_PMD50768	#905799	Far distant (29.5%)
Meliniomyces_bicolor_PMD49734	#87CEEB	Low (31.8%)
Meliniomyces_bicolor_PMD49650	#905799	Far distant (28.8%)
Meliniomyces_variabilis_PMD48087	#87CEEB	Low (33.8%)
Meliniomyces_variabilis_PMD48860	#87CEEB	Low (31.8%)
Meliniomyces_variabilis_PMD49075	#87CEEB	Low (34.5%)
Meliniomyces_variabilis_PMD47536	#EAFF80	Medium (41.2%)
Meliniomyces_variabilis_PMD47779	#87CEEB	Low (31.5%)
Meliniomyces_variabilis_PMD47833	#905799	Far distant (28.6%)
Meliniomyces_variabilis_PMD46074	#87CEEB	Low (34.9%)
Meliniomyces_variabilis_PMD43886	#87CEEB	Low (33.3%)
Meliniomyces_variabilis_PMD44176	#87CEEB	Low (33.3%)
Meliniomyces_variabilis_PMD43559	#87CEEB	Low (36.2%)
Meliniomyces_variabilis_PMD41906	#87CEEB	Low (30.3%)
Meliniomyces_variabilis_PMD40317	#87CEEB	Low (31.5%)
Meliniomyces_variabilis_PMD40444	#EAFF80	Medium (43.8%)
Meliniomyces_variabilis_PMD39988	#EAFF80	Medium (40.1%)
Meliniomyces_variabilis_PMD38917	#EAFF80	Medium (40.7%)
Meliniomyces_variabilis_PMD38925	#87CEEB	Low (35.4%)
Meliniomyces_variabilis_PMD39294	#905799	Far distant (29.7%)
Meliniomyces_variabilis_PMD35709	#EAFF80	Medium (44.0%)
Meliniomyces_variabilis_PMD34579	#87CEEB	Low (33.5%)
Meliniomyces_variabilis_PMD33772	#905799	Far distant (28.7%)
Meliniomyces_variabilis_PMD32489	#905799	Far distant (29.2%)
Meliniomyces_variabilis_PMD31917	#87CEEB	Low (35.3%)
Meliniomyces_variabilis_PMD30453	#87CEEB	Low (31.1%)
Meliniomyces_variabilis_PMD29740	#905799	Far distant (27.4%)
Meliniomyces_variabilis_PMD29384	#87CEEB	Low (31.1%)
Meliniomyces_variabilis_PMD29337	#87CEEB	Low (32.7%)
Metarhizium_acridum_EFY93586	#87CEEB	Low (35.1%)
Metarhizium_acridum_EFY87654	#905799	Far distant (26.1%)
Metarhizium_acridum_EFY85653	#87CEEB	Low (31.2%)
Metarhizium_acridum_EFY85084	#87CEEB	Low (32.2%)
Metarhizium_album_KHN97072	#87CEEB	Low (31.8%)
Metarhizium_album_KHN99773	#87CEEB	Low (30.4%)
Metarhizium_anisopliae_EFY99954	#87CEEB	Low (33.2%)
Metarhizium_anisopliae_EFZ02192	#87CEEB	Low (35.5%)
Metarhizium_anisopliae_EFZ04286	#87CEEB	Low (32.7%)
Metarhizium_anisopliae_EFY97550	#905799	Far distant (28.8%)
Metarhizium_anisopliae_KHO11371	#905799	Far distant (27.2%)
Metarhizium_anisopliae_EFY97729	#EAFF80	Medium (41.1%)
Metarhizium_anisopliae_EFZ03914	#87CEEB	Low (33.9%)
Metarhizium_brunneum_KID79676	#905799	Far distant (29.2%)
Metarhizium_brunneum_KID73822	#87CEEB	Low (33.9%)
Metarhizium_brunneum_KID67821	#87CEEB	Low (39.4%)
Metarhizium_brunneum_KID75634	#87CEEB	Low (32.9%)
Metarhizium_brunneum_KID74618	#905799	Far distant (28.2%)
Metarhizium_brunneum_KID74128	#87CEEB	Low (35.5%)
Metarhizium_guizhouense_KID88579	#87CEEB	Low (34.2%)
Metarhizium_guizhouense_KID86410	#87CEEB	Low (31.5%)
Metarhizium_guizhouense_KID91816	#87CEEB	Low (32.9%)
Metarhizium_guizhouense_KID85114	#905799	Far distant (29.2%)
Metarhizium_guizhouense_KID83123	#87CEEB	Low (33.6%)
Metarhizium_guizhouense_KID82316	#87CEEB	Low (36.6%)
Metarhizium_majus_KID94772	#87CEEB	Low (32.6%)
Metarhizium_majus_KID99591	#87CEEB	Low (32.9%)
Metarhizium_majus_KID99500	#905799	Far distant (29.4%)
Metarhizium_majus_KID98013	#87CEEB	Low (34.4%)
Metarhizium_majus_KID96461	#87CEEB	Low (35.9%)
Metarhizium_majus_KID96193	#87CEEB	Low (31.9%)
Metarhizium_rileyi_OAA41362	#87CEEB	Low (34.2%)
Metarhizium_rileyi_OAA50336	#905799	Far distant (28.7%)
Metarhizium_rileyi_OAA50503	#87CEEB	Low (31.1%)
Metarhizium_robertsii_EXV05363	#87CEEB	Low (36.1%)
Metarhizium_robertsii_EXV06652	#87CEEB	Low (33.2%)
Metarhizium_robertsii_EXV05242	#EAFF80	Medium (41.0%)
Metarhizium_robertsii_EXV01511	#905799	Far distant (28.8%)
Metarhizium_robertsii_EXV01096	#905799	Far distant (29.2%)
Metarhizium_robertsii_EXU99121	#87CEEB	Low (33.9%)
Metarhizium_robertsii_EXU95441	#87CEEB	Low (34.4%)
Meyerozyma_guilliermondii_EDK37956	#EAFF80	Medium (43.9%)
Meyerozyma_guilliermondii_EDK39148	#87CEEB	Low (33.2%)
Meyerozyma_guilliermondii_EDK39163	#87CEEB	Low (35.6%)
Meyerozyma_guilliermondii_EDK39825	#87CEEB	Low (34.5%)
Meyerozyma_guilliermondii_EDK39906	#87CEEB	Low (31.1%)
Meyerozyma_guilliermondii_EDK40454	#87CEEB	Low (36.2%)
Meyerozyma_guilliermondii_EDK40497	#87CEEB	Low (30.0%)
Meyerozyma_guilliermondii_EDK40794	#87CEEB	Low (32.0%)
Meyerozyma_guilliermondii_EDK41009	#87CEEB	Low (36.0%)
Meyerozyma_guilliermondii_EDK41025	#87CEEB	Low (32.7%)
Meyerozyma_guilliermondii_EDK41061	#87CEEB	Low (33.8%)
Meyerozyma_guilliermondii_EDK41093	#905799	Far distant (29.8%)
Meyerozyma_guilliermondii_EDK41592	#905799	Far distant (28.2%)
Meyerozyma_guilliermondii_EDK41594	#905799	Far distant (26.5%)
Meyerozyma_guilliermondii_EDK41616	#87CEEB	Low (33.3%)
Meyerozyma_guilliermondii_EDK41702	#87CEEB	Low (32.8%)
Microbotryum_intermedium_SCV68368	#87CEEB	Low (31.5%)
Microbotryum_intermedium_SCV73249	#87CEEB	Low (30.9%)
Microbotryum_intermedium_SCV73253	#87CEEB	Low (34.7%)
Microdochium_bolleyi_KXJ96818	#87CEEB	Low (34.5%)
Microdochium_bolleyi_KXJ93349	#905799	Far distant (24.5%)
Microdochium_bolleyi_KXJ88192	#87CEEB	Low (34.2%)
Microdochium_bolleyi_KXJ87291	#87CEEB	Low (32.4%)
Microdochium_bolleyi_KXJ87299	#905799	Far distant (18.4%)
Microdochium_bolleyi_KXJ86479	#EAFF80	Medium (44.2%)
Microdochium_bolleyi_KXJ85943	#87CEEB	Low (39.2%)
Microsporum_canis_EEQ27970	#87CEEB	Low (34.3%)
Microsporum_canis_EEQ31630	#87CEEB	Low (32.2%)
Microsporum_canis_EEQ35338	#87CEEB	Low (32.1%)
Millerozyma_farinosa_CCE72446	#87CEEB	Low (33.6%)
Millerozyma_farinosa_CCE73006	#87CEEB	Low (33.2%)
Millerozyma_farinosa_CCE78191	#87CEEB	Low (34.3%)
Millerozyma_farinosa_CCE78779	#87CEEB	Low (35.1%)
Millerozyma_farinosa_CCE79242	#87CEEB	Low (34.6%)
Millerozyma_farinosa_CCE81394	#87CEEB	Low (33.5%)
Mixia_osmundae_GAA98212	#87CEEB	Low (37.0%)
Mixia_osmundae_GAA98285	#87CEEB	Low (33.6%)
Mixia_osmundae_GAA98935	#87CEEB	Low (32.1%)
Moelleriella_libera_KZZ92559	#905799	Far distant (29.2%)
Moelleriella_libera_KZZ95543	#87CEEB	Low (31.1%)
Moesziomyces_antarcticus_GAK65299	#87CEEB	Low (31.8%)
Moesziomyces_antarcticus_GAK67991	#87CEEB	Low (31.5%)
Moesziomyces_antarcticus_GAK68021	#87CEEB	Low (37.8%)
Moesziomyces_antarcticus_GAK68428	#87CEEB	Low (31.3%)
Moesziomyces_aphidis_ETS65097	#87CEEB	Low (31.5%)
Moesziomyces_aphidis_ETS64462	#87CEEB	Low (32.0%)
Moesziomyces_aphidis_ETS61494	#87CEEB	Low (37.5%)
Moesziomyces_aphidis_ETS61320	#87CEEB	Low (32.5%)
Moesziomyces_aphidis_ETS59567	#87CEEB	Low (31.8%)
Moniliophthora_perniciosa_EEB95218	#87CEEB	Low (36.0%)
Moniliophthora_perniciosa_EEB94525	#905799	Far distant (20.0%)
Moniliophthora_perniciosa_EEB99841	#905799	Far distant (29.4%)
Moniliophthora_perniciosa_EEB94250	#87CEEB	Low (33.1%)
Moniliophthora_perniciosa_EEB93817	#905799	Far distant (27.6%)
Moniliophthora_perniciosa_EEB93761	#905799	Far distant (28.1%)
Moniliophthora_perniciosa_EEB93471	#905799	Far distant (24.0%)
Moniliophthora_perniciosa_EEB93166	#87CEEB	Low (30.7%)
Moniliophthora_perniciosa_EEB92703	#87CEEB	Low (33.3%)
Moniliophthora_perniciosa_EEB90816	#87CEEB	Low (30.8%)
Moniliophthora_perniciosa_EEB90181	#905799	Far distant (28.6%)
Moniliophthora_perniciosa_EEB99509	#905799	Far distant (18.3%)
Moniliophthora_perniciosa_EEB99042	#87CEEB	Low (35.3%)
Moniliophthora_perniciosa_EEB98945	#905799	Far distant (22.4%)
Moniliophthora_perniciosa_EEB98899	#EAFF80	Medium (47.8%)
Moniliophthora_perniciosa_EEB97862	#905799	Far distant (24.0%)
Moniliophthora_perniciosa_EEB97293	#905799	Far distant (25.0%)
Moniliophthora_perniciosa_EEB96306	#905799	Far distant (29.1%)
Moniliophthora_perniciosa_EEB99919	#87CEEB	Low (32.7%)
Moniliophthora_perniciosa_EEB95440	#87CEEB	Low (35.8%)
Moniliophthora_roreri_KTB47354	#905799	Far distant (26.9%)
Moniliophthora_roreri_KTB47355	#905799	Far distant (27.0%)
Moniliophthora_roreri_KTB44847	#905799	Far distant (29.7%)
Moniliophthora_roreri_KTB44852	#87CEEB	Low (30.6%)
Moniliophthora_roreri_KTB43230	#905799	Far distant (28.1%)
Moniliophthora_roreri_KTB42483	#905799	Far distant (29.4%)
Moniliophthora_roreri_KTB42389	#905799	Far distant (19.6%)
Moniliophthora_roreri_KTB39962	#905799	Far distant (28.7%)
Moniliophthora_roreri_KTB39569	#87CEEB	Low (31.7%)
Moniliophthora_roreri_KTB36854	#87CEEB	Low (30.9%)
Moniliophthora_roreri_KTB36855	#905799	Far distant (29.0%)
Moniliophthora_roreri_KTB36856	#87CEEB	Low (30.7%)
Moniliophthora_roreri_KTB36406	#87CEEB	Low (31.1%)
Moniliophthora_roreri_KTB31661	#87CEEB	Low (32.0%)
Moniliophthora_roreri_KTB30038	#87CEEB	Low (31.4%)
Moniliophthora_roreri_KTB29898	#905799	Far distant (28.2%)
Moniliophthora_roreri_KTB28561	#87CEEB	Low (31.4%)
Moniliophthora_roreri_KTB27599	#905799	Far distant (28.5%)
Moniliophthora_roreri_KTB27298	#905799	Far distant (25.3%)
Moniliophthora_roreri_KTB27320	#87CEEB	Low (33.1%)
Moniliophthora_roreri_KTB27321	#87CEEB	Low (34.4%)
Moniliophthora_roreri_KTB27322	#87CEEB	Low (35.9%)
